year,neighborhoodName,density
2020,la Marina del Prat Vermell,1
2020,la Maternitat i Sant Ramon,125
2020,la Nova Esquerra de l'Eixample,437
2020,la Prosperitat,457
2020,la Sagrada Família,501
2020,la Sagrera,300
2020,la Salut,208
2020,la Teixonera,353
2020,la Trinitat Nova,133
2020,la Trinitat Vella,130
2020,la Vall d'Hebron,79
2020,la Verneda i la Pau,255
2020,la Vila Olímpica del Poblenou,101
2020,la Vila de Gràcia,385
2020,les Corts,331
2020,les Roquetes,255
2020,les Tres Torres,211
