,districtName,year,districtCode,neighborhoodName,sex,count,Latitude_d,Longitude_d,Latitude_n,Longitude_n,totCount,percent,density
109,Nou Barris,2015,08,la Guineueta,Male,203,41.44624399686965,2.175060174739923,41.438810193171115,2.1689111686865257,435,46.67,252
110,Sants-Montjuïc,2015,03,la Marina de Port,Female,674,41.34994863691585,2.1449328518852444,41.360010766828424,2.139827247855693,1365,49.38,247
111,Sants-Montjuïc,2015,03,la Marina de Port,Male,691,41.34994863691585,2.1449328518852444,41.360010766828424,2.139827247855693,1365,50.62,247
112,Sants-Montjuïc,2015,03,la Marina del Prat Vermell,Female,28,41.34994863691585,2.1449328518852444,41.339081828169405,2.141847390471855,61,45.9,1
113,Sants-Montjuïc,2015,03,la Marina del Prat Vermell,Male,33,41.34994863691585,2.1449328518852444,41.339081828169405,2.141847390471855,61,54.1,1
114,Les Corts,2015,04,la Maternitat i Sant Ramon,Female,714,41.386969710556954,2.1182139026232667,41.381193628716815,2.117399268331813,1340,53.28,125
115,Les Corts,2015,04,la Maternitat i Sant Ramon,Male,626,41.386969710556954,2.1182139026232667,41.381193628716815,2.117399268331813,1340,46.72,125
116,Eixample,2015,02,la Nova Esquerra de l'Eixample,Female,1844,41.39162181574575,2.1644883081819466,41.38305948067014,2.148969390791108,3543,52.05,437
117,Eixample,2015,02,la Nova Esquerra de l'Eixample,Male,1699,41.39162181574575,2.1644883081819466,41.38305948067014,2.148969390791108,3543,47.95,437
118,Nou Barris,2015,08,la Prosperitat,Female,564,41.44624399686965,2.175060174739923,41.442658256783524,2.1819599488647814,1061,53.16,457
119,Nou Barris,2015,08,la Prosperitat,Male,497,41.44624399686965,2.175060174739923,41.442658256783524,2.1819599488647814,1061,46.84,457
120,Eixample,2015,02,la Sagrada Família,Female,1722,41.39162181574575,2.1644883081819466,41.40545288785172,2.1765351354467284,3266,52.73,501
121,Eixample,2015,02,la Sagrada Família,Male,1544,41.39162181574575,2.1644883081819466,41.40545288785172,2.1765351354467284,3266,47.27,501
122,Sant Andreu,2015,09,la Sagrera,Female,628,41.43505454638585,2.1933091722750544,41.423263762335694,2.1902413234256004,1176,53.4,300
123,Sant Andreu,2015,09,la Sagrera,Male,548,41.43505454638585,2.1933091722750544,41.423263762335694,2.1902413234256004,1176,46.6,300
124,Gràcia,2015,06,la Salut,Female,286,41.41014984533272,2.15239842811538,41.41243135515764,2.1543557981986443,554,51.62,208
125,Gràcia,2015,06,la Salut,Male,268,41.41014984533272,2.15239842811538,41.41243135515764,2.1543557981986443,554,48.38,208
126,Horta-Guinardó,2015,07,la Teixonera,Female,215,41.42913982673942,2.150530914702001,41.42305281093841,2.146521863119086,420,51.19,353
127,Horta-Guinardó,2015,07,la Teixonera,Male,205,41.42913982673942,2.150530914702001,41.42305281093841,2.146521863119086,420,48.81,353
128,Nou Barris,2015,08,la Trinitat Nova,Female,191,41.44624399686965,2.175060174739923,41.45060790600672,2.1848904505363707,380,50.26,133
129,Nou Barris,2015,08,la Trinitat Nova,Male,189,41.44624399686965,2.175060174739923,41.45060790600672,2.1848904505363707,380,49.74,133
130,Sant Andreu,2015,09,la Trinitat Vella,Female,287,41.43505454638585,2.1933091722750544,41.451661321142026,2.192890881354412,694,41.35,130
131,Sant Andreu,2015,09,la Trinitat Vella,Male,407,41.43505454638585,2.1933091722750544,41.451661321142026,2.192890881354412,694,58.65,130
132,Horta-Guinardó,2015,07,la Vall d'Hebron,Female,85,41.42913982673942,2.150530914702001,41.430417126031536,2.1483446421763515,184,46.2,79
133,Horta-Guinardó,2015,07,la Vall d'Hebron,Male,99,41.42913982673942,2.150530914702001,41.430417126031536,2.1483446421763515,184,53.8,79
134,Sant Martí,2015,10,la Verneda i la Pau,Female,564,41.407613151742986,2.2012214191471715,41.423947239365006,2.203060844273514,1093,51.6,255
135,Sant Martí,2015,10,la Verneda i la Pau,Male,529,41.407613151742986,2.2012214191471715,41.423947239365006,2.203060844273514,1093,48.4,255
136,Sant Martí,2015,10,la Vila Olímpica del Poblenou,Female,241,41.407613151742986,2.2012214191471715,41.39073234714781,2.1966293964520665,484,49.79,101
137,Sant Martí,2015,10,la Vila Olímpica del Poblenou,Male,243,41.407613151742986,2.2012214191471715,41.39073234714781,2.1966293964520665,484,50.21,101
138,Gràcia,2015,06,la Vila de Gràcia,Female,1895,41.41014984533272,2.15239842811538,41.40311183322556,2.156881001203192,3502,54.11,385
139,Gràcia,2015,06,la Vila de Gràcia,Male,1607,41.41014984533272,2.15239842811538,41.40311183322556,2.156881001203192,3502,45.89,385
140,Les Corts,2015,04,les Corts,Female,1099,41.386969710556954,2.1182139026232667,41.38692440015764,2.1346874325730134,2121,51.82,331
141,Les Corts,2015,04,les Corts,Male,1022,41.386969710556954,2.1182139026232667,41.38692440015764,2.1346874325730134,2121,48.18,331
142,Nou Barris,2015,08,les Roquetes,Female,433,41.44624399686965,2.175060174739923,41.44804470504338,2.175163220052734,842,51.43,255
143,Nou Barris,2015,08,les Roquetes,Male,409,41.44624399686965,2.175060174739923,41.44804470504338,2.175163220052734,842,48.57,255
144,Sarrià-Sant Gervasi,2015,05,les Tres Torres,Female,396,41.412773594643824,2.106121049753216,41.39801159584568,2.1298434355071385,709,55.85,211
145,Sarrià-Sant Gervasi,2015,05,les Tres Torres,Male,313,41.412773594643824,2.106121049753216,41.39801159584568,2.1298434355071385,709,44.15,211
146,Sant Andreu,2016,09,Baró de Viver,Female,44,41.43505454638585,2.1933091722750544,41.44581467347341,2.19899775842406,84,52.38,114
147,Sant Andreu,2016,09,Baró de Viver,Male,40,41.43505454638585,2.1933091722750544,41.44581467347341,2.19899775842406,84,47.62,114
148,Horta-Guinardó,2016,07,Can Baró,Female,200,41.42913982673942,2.150530914702001,41.4167603624773,2.162386553967649,374,53.48,243
149,Horta-Guinardó,2016,07,Can Baró,Male,174,41.42913982673942,2.150530914702001,41.4167603624773,2.162386553967649,374,46.52,243
150,Nou Barris,2016,08,Can Peguera,Female,37,41.44624399686965,2.175060174739923,41.43484212038238,2.1664501320817235,68,54.41,192
151,Nou Barris,2016,08,Can Peguera,Male,31,41.44624399686965,2.175060174739923,41.43484212038238,2.1664501320817235,68,45.59,192
152,Nou Barris,2016,08,Canyelles,Female,65,41.44624399686965,2.175060174739923,41.445032990983854,2.1634504252403164,129,50.39,87
