,year,districtCode,districtName,neighborhoodCode,neighborhoodName,population,areaHA,residetialAreaHA,density,residentialDencity
284,2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,15134,111.4,20.0,136,758
285,2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,9367,94.3,24.2,99,387
286,2017,10,Sant Martí,68,el Poblenou,33843,154.5,42.6,219,795
287,2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,13629,123.7,23.0,110,592
288,2017,10,Sant Martí,70,el Besòs i el Maresme,23009,127.4,26.0,181,885
289,2017,10,Sant Martí,71,Provençals del Poblenou,20487,110.5,13.8,185,1490
290,2017,10,Sant Martí,72,Sant Martí de Provençals,26146,74.5,23.4,351,1116
291,2017,10,Sant Martí,73,la Verneda i la Pau,28691,112.3,40.1,256,716
292,2016,1,Ciutat Vella,1,el Raval,47129,109.8,,437,948
293,2016,1,Ciutat Vella,2,el Barri Gòtic,15614,84.2,,265,457
294,2016,1,Ciutat Vella,3,la Barceloneta,15021,131.4,,128,1113
295,2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",22306,111.4,,209,689
296,2016,2,Eixample,5,el Fort Pienc,31653,92.9,,360,948
297,2016,2,Eixample,6,la Sagrada Família,51322,105.1,,501,1002
298,2016,2,Eixample,7,la Dreta de l'Eixample,43644,212.3,,209,383
299,2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41854,123.4,,350,625
300,2016,2,Eixample,9,la Nova Esquerra de l'Eixample,57648,133.8,,437,883
301,2016,2,Eixample,10,Sant Antoni,38184,80.1,,484,924
302,2016,3,Sants-Montjuïc,11,el Poble Sec,40055,460.5,,88,1039
303,2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1143,1428.4,,1,32
304,2016,3,Sants-Montjuïc,13,la Marina de Port,30385,125.5,,247,774
305,2016,3,Sants-Montjuïc,14,la Font de la Guatlla,10302,30.2,,349,903
306,2016,3,Sants-Montjuïc,15,Hostafrancs,15889,41.0,,395,710
