districtName,5YearAge,year,districtCode,neighborhoodName,count,Latitude_n,Longitude_n
Sarrià-Sant Gervasi,40-44,2015,5,Sarrià,132,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,35-39,2015,5,Sarrià,117,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,30-34,2015,5,Sarrià,115,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,25-29,2015,5,Sarrià,145,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,20-24,2015,5,Sarrià,80,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,15-19,2015,5,Sarrià,71,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,10-14,2015,5,Sarrià,87,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,50-54,2020,5,"Vallvidrera, el Tibidabo i les Planes",12,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,5-9,2015,5,Sarrià,70,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,100+,2020,5,"Vallvidrera, el Tibidabo i les Planes",0,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,95-99,2020,5,"Vallvidrera, el Tibidabo i les Planes",0,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,90-94,2020,5,"Vallvidrera, el Tibidabo i les Planes",1,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,85-89,2020,5,"Vallvidrera, el Tibidabo i les Planes",0,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,80-84,2020,5,"Vallvidrera, el Tibidabo i les Planes",2,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,75-79,2020,5,"Vallvidrera, el Tibidabo i les Planes",0,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,70-74,2020,5,"Vallvidrera, el Tibidabo i les Planes",2,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,65-69,2020,5,"Vallvidrera, el Tibidabo i les Planes",2,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,60-64,2020,5,"Vallvidrera, el Tibidabo i les Planes",2,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,0-4,2015,5,Sarrià,81,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,5-9,2015,5,Sant Gervasi - Galvany,101,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,90-94,2020,5,les Tres Torres,5,41.39801159584568,2.1298434355071385
Sarrià-Sant Gervasi,100+,2020,5,les Tres Torres,0,41.39801159584568,2.1298434355071385
Sarrià-Sant Gervasi,85-89,2020,5,Sant Gervasi - Galvany,8,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,90-94,2020,5,Sant Gervasi - Galvany,6,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,95-99,2020,5,Sant Gervasi - Galvany,2,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,100+,2020,5,Sant Gervasi - Galvany,0,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,0-4,2015,5,el Putxet i el Farró,67,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,5-9,2015,5,el Putxet i el Farró,49,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,10-14,2015,5,el Putxet i el Farró,49,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,15-19,2015,5,el Putxet i el Farró,73,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,20-24,2015,5,el Putxet i el Farró,137,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,25-29,2015,5,el Putxet i el Farró,281,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,30-34,2015,5,el Putxet i el Farró,259,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,35-39,2015,5,el Putxet i el Farró,165,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,40-44,2015,5,el Putxet i el Farró,92,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,45-49,2015,5,el Putxet i el Farró,72,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,50-54,2015,5,el Putxet i el Farró,71,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,55-59,2015,5,el Putxet i el Farró,43,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,60-64,2015,5,el Putxet i el Farró,36,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,65-69,2015,5,el Putxet i el Farró,21,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,70-74,2015,5,el Putxet i el Farró,21,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,80-84,2020,5,Sant Gervasi - Galvany,14,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,75-79,2020,5,Sant Gervasi - Galvany,14,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,70-74,2020,5,Sant Gervasi - Galvany,31,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,65-69,2020,5,Sant Gervasi - Galvany,39,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,70-74,2019,5,Sant Gervasi - Galvany,37,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,75-79,2019,5,Sant Gervasi - Galvany,35,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,80-84,2019,5,Sant Gervasi - Galvany,18,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,85-89,2019,5,Sant Gervasi - Galvany,15,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,90-94,2019,5,Sant Gervasi - Galvany,4,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,95-99,2019,5,Sant Gervasi - Galvany,1,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,100+,2019,5,Sant Gervasi - Galvany,0,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,0-4,2020,5,Sant Gervasi - Galvany,77,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,5-9,2020,5,Sant Gervasi - Galvany,64,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,75-79,2015,5,el Putxet i el Farró,7,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,10-14,2020,5,Sant Gervasi - Galvany,64,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,20-24,2020,5,Sant Gervasi - Galvany,150,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,25-29,2020,5,Sant Gervasi - Galvany,310,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,30-34,2020,5,Sant Gervasi - Galvany,258,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,35-39,2020,5,Sant Gervasi - Galvany,175,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,40-44,2020,5,Sant Gervasi - Galvany,131,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,45-49,2020,5,Sant Gervasi - Galvany,87,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,50-54,2020,5,Sant Gervasi - Galvany,74,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,55-59,2020,5,Sant Gervasi - Galvany,57,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,60-64,2020,5,Sant Gervasi - Galvany,47,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,15-19,2020,5,Sant Gervasi - Galvany,71,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,65-69,2019,5,Sant Gervasi - Galvany,39,41.39745161788423,2.1430104123588483
Sarrià-Sant Gervasi,80-84,2015,5,el Putxet i el Farró,9,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,90-94,2015,5,el Putxet i el Farró,4,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,5-9,2017,5,el Putxet i el Farró,54,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,10-14,2017,5,el Putxet i el Farró,64,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,15-19,2017,5,el Putxet i el Farró,61,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,20-24,2017,5,el Putxet i el Farró,173,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,25-29,2017,5,el Putxet i el Farró,328,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,30-34,2017,5,el Putxet i el Farró,229,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,35-39,2017,5,el Putxet i el Farró,140,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,40-44,2017,5,el Putxet i el Farró,109,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,45-49,2017,5,el Putxet i el Farró,80,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,50-54,2017,5,el Putxet i el Farró,61,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,55-59,2017,5,el Putxet i el Farró,32,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,60-64,2017,5,el Putxet i el Farró,31,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,65-69,2017,5,el Putxet i el Farró,21,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,70-74,2017,5,el Putxet i el Farró,20,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,75-79,2017,5,el Putxet i el Farró,19,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,80-84,2017,5,el Putxet i el Farró,10,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,85-89,2017,5,el Putxet i el Farró,4,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,90-94,2017,5,el Putxet i el Farró,4,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,95-99,2017,5,el Putxet i el Farró,1,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,0-4,2017,5,el Putxet i el Farró,74,41.40689839008574,2.1439149715259136
Sarrià-Sant Gervasi,100+,2016,5,el Putxet i el Farró,0,41.40689839008574,2.1439149715259136
