districtName,5YearAge,year,districtCode,neighborhoodCode,neighborhoodName,count
Eixample,20-24,2015,2,9,la Nova Esquerra de l'Eixample,454
Eixample,20-24,2015,2,10,Sant Antoni,272
Sants-Montjuïc,20-24,2015,3,11,el Poble Sec,338
Sants-Montjuïc,20-24,2015,3,12,la Marina del Prat Vermell,6
Sants-Montjuïc,20-24,2015,3,13,la Marina de Port,126
Sants-Montjuïc,20-24,2015,3,14,la Font de la Guatlla,93
Sants-Montjuïc,20-24,2015,3,15,Hostafrancs,132
Sants-Montjuïc,20-24,2015,3,16,la Bordeta,98
Sants-Montjuïc,20-24,2015,3,17,Sants - Badal,194
Sants-Montjuïc,20-24,2015,3,18,Sants,251
Les Corts,20-24,2015,4,19,les Corts,189
Les Corts,20-24,2015,4,20,la Maternitat i Sant Ramon,124
Les Corts,20-24,2015,4,21,Pedralbes,57
Sarrià-Sant Gervasi,20-24,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",13
Sarrià-Sant Gervasi,20-24,2015,5,23,Sarrià,80
Sarrià-Sant Gervasi,20-24,2015,5,24,les Tres Torres,83
Sarrià-Sant Gervasi,20-24,2015,5,25,Sant Gervasi - la Bonanova,130
Sarrià-Sant Gervasi,20-24,2015,5,26,Sant Gervasi - Galvany,242
Sarrià-Sant Gervasi,20-24,2015,5,27,el Putxet i el Farró,137
Gràcia,20-24,2015,6,28,Vallcarca i els Penitents,68
Gràcia,20-24,2015,6,29,el Coll,43
Gràcia,20-24,2015,6,30,la Salut,65
Gràcia,20-24,2015,6,31,la Vila de Gràcia,437
Gràcia,20-24,2015,6,32,el Camp d'en Grassot i Gràcia Nova,172
Horta-Guinardó,20-24,2015,7,33,el Baix Guinardó,130
Horta-Guinardó,20-24,2015,7,34,Can Baró,42
Horta-Guinardó,20-24,2015,7,35,el Guinardó,170
Horta-Guinardó,20-24,2015,7,36,la Font d'en Fargues,21
Horta-Guinardó,20-24,2015,7,37,el Carmel,129
Horta-Guinardó,20-24,2015,7,38,la Teixonera,57
Horta-Guinardó,20-24,2015,7,39,Sant Genís dels Agudells,36
Horta-Guinardó,20-24,2015,7,40,Montbau,22
Horta-Guinardó,20-24,2015,7,41,la Vall d'Hebron,13
Horta-Guinardó,20-24,2015,7,42,la Clota,5
Horta-Guinardó,20-24,2015,7,43,Horta,89
Nou Barris,20-24,2015,8,44,Vilapicina i la Torre Llobeta,109
Nou Barris,20-24,2015,8,45,Porta,109
Nou Barris,20-24,2015,8,46,el Turó de la Peira,76
Nou Barris,20-24,2015,8,47,Can Peguera,2
Nou Barris,20-24,2015,8,48,la Guineueta,34
Nou Barris,20-24,2015,8,49,Canyelles,7
Nou Barris,20-24,2015,8,50,les Roquetes,116
Nou Barris,20-24,2015,8,51,Verdun,81
Nou Barris,20-24,2015,8,52,la Prosperitat,118
Nou Barris,20-24,2015,8,53,la Trinitat Nova,41
Nou Barris,20-24,2015,8,54,Torre Baró,14
Nou Barris,20-24,2015,8,55,Ciutat Meridiana,82
Nou Barris,20-24,2015,8,56,Vallbona,6
Sant Andreu,20-24,2015,9,57,la Trinitat Vella,88
Sant Andreu,20-24,2015,9,58,Baró de Viver,9
Sant Andreu,20-24,2015,9,59,el Bon Pastor,55
Sant Andreu,20-24,2015,9,60,Sant Andreu,148
Sant Andreu,20-24,2015,9,61,la Sagrera,121
Sant Andreu,20-24,2015,9,62,el Congrés i els Indians,66
Sant Andreu,20-24,2015,9,63,Navas,97
Sant Martí,20-24,2015,10,64,el Camp de l'Arpa del Clot,199
