neighborhoodName,year,districtCode,districtName,neighborhoodCode,placeOfDestination,count
Sant Antoni,2015,2,Eixample,10,Islas Baleares,63
el Poble Sec,2015,3,Sants-Montjuïc,11,Islas Baleares,47
la Marina del Prat Vermell,2015,3,Sants-Montjuïc,12,Islas Baleares,4
la Marina de Port,2015,3,Sants-Montjuïc,13,Islas Baleares,11
la Font de la Guatlla,2015,3,Sants-Montjuïc,14,Islas Baleares,13
Hostafrancs,2015,3,Sants-Montjuïc,15,Islas Baleares,19
la Bordeta,2015,3,Sants-Montjuïc,16,Islas Baleares,18
Sants - Badal,2015,3,Sants-Montjuïc,17,Islas Baleares,12
Sants,2015,3,Sants-Montjuïc,18,Islas Baleares,48
les Corts,2015,4,Les Corts,19,Islas Baleares,36
la Maternitat i Sant Ramon,2015,4,Les Corts,20,Islas Baleares,26
Pedralbes,2015,4,Les Corts,21,Islas Baleares,11
"Vallvidrera, el Tibidabo i les Planes",2015,5,Sarrià-Sant Gervasi,22,Islas Baleares,6
Sarrià,2015,5,Sarrià-Sant Gervasi,23,Islas Baleares,53
les Tres Torres,2015,5,Sarrià-Sant Gervasi,24,Islas Baleares,19
Sant Gervasi - la Bonanova,2015,5,Sarrià-Sant Gervasi,25,Islas Baleares,35
Sant Gervasi - Galvany,2015,5,Sarrià-Sant Gervasi,26,Islas Baleares,65
el Putxet i el Farró,2015,5,Sarrià-Sant Gervasi,27,Islas Baleares,46
Vallcarca i els Penitents,2015,6,Gràcia,28,Islas Baleares,10
el Coll,2015,6,Gràcia,29,Islas Baleares,12
la Salut,2015,6,Gràcia,30,Islas Baleares,16
la Vila de Gràcia,2015,6,Gràcia,31,Islas Baleares,87
el Camp d'en Grassot i Gràcia Nova,2015,6,Gràcia,32,Islas Baleares,39
el Baix Guinardó,2015,7,Horta-Guinardó,33,Islas Baleares,32
Can Baró,2015,7,Horta-Guinardó,34,Islas Baleares,9
el Guinardó,2015,7,Horta-Guinardó,35,Islas Baleares,36
la Font d'en Fargues,2015,7,Horta-Guinardó,36,Islas Baleares,9
