,districtName,year,districtCode,neighborhoodCode,neighborhoodName,5YearAge,count
194,Nou Barris,2015,8,49,Canyelles,10-14,14
195,Nou Barris,2015,8,50,les Roquetes,10-14,18
196,Nou Barris,2015,8,51,Verdun,10-14,15
197,Nou Barris,2015,8,52,la Prosperitat,10-14,29
198,Nou Barris,2015,8,53,la Trinitat Nova,10-14,6
199,Nou Barris,2015,8,54,Torre Baró,10-14,5
200,Nou Barris,2015,8,55,Ciutat Meridiana,10-14,26
201,Nou Barris,2015,8,56,Vallbona,10-14,3
202,Sant Andreu,2015,9,57,la Trinitat Vella,10-14,13
203,Sant Andreu,2015,9,58,Baró de Viver,10-14,1
204,Sant Andreu,2015,9,59,el Bon Pastor,10-14,13
205,Sant Andreu,2015,9,60,Sant Andreu,10-14,44
206,Sant Andreu,2015,9,61,la Sagrera,10-14,20
207,Sant Andreu,2015,9,62,el Congrés i els Indians,10-14,13
208,Sant Andreu,2015,9,63,Navas,10-14,17
209,Sant Martí,2015,10,64,el Camp de l'Arpa del Clot,10-14,34
210,Sant Martí,2015,10,65,el Clot,10-14,17
211,Sant Martí,2015,10,66,el Parc i la Llacuna del Poblenou,10-14,15
212,Sant Martí,2015,10,67,la Vila Olímpica del Poblenou,10-14,14
213,Sant Martí,2015,10,68,el Poblenou,10-14,23
214,Sant Martí,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,10-14,19
215,Sant Martí,2015,10,70,el Besòs i el Maresme,10-14,60
216,Sant Martí,2015,10,71,Provençals del Poblenou,10-14,12
217,Sant Martí,2015,10,72,Sant Martí de Provençals,10-14,12
218,Sant Martí,2015,10,73,la Verneda i la Pau,10-14,36
219,Ciutat Vella,2015,1,1,el Raval,15-19,92
220,Ciutat Vella,2015,1,2,el Barri Gòtic,15-19,25
221,Ciutat Vella,2015,1,3,la Barceloneta,15-19,13
222,Ciutat Vella,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",15-19,38
223,Eixample,2015,2,5,el Fort Pienc,15-19,33
224,Eixample,2015,2,6,la Sagrada Família,15-19,31
225,Eixample,2015,2,7,la Dreta de l'Eixample,15-19,35
226,Eixample,2015,2,8,l'Antiga Esquerra de l'Eixample,15-19,35
227,Eixample,2015,2,9,la Nova Esquerra de l'Eixample,15-19,46
228,Eixample,2015,2,10,Sant Antoni,15-19,37
229,Sants-Montjuïc,2015,3,11,el Poble Sec,15-19,56
230,Sants-Montjuïc,2015,3,12,la Marina del Prat Vermell,15-19,2
231,Sants-Montjuïc,2015,3,13,la Marina de Port,15-19,28
232,Sants-Montjuïc,2015,3,14,la Font de la Guatlla,15-19,16
233,Sants-Montjuïc,2015,3,15,Hostafrancs,15-19,13
234,Sants-Montjuïc,2015,3,16,la Bordeta,15-19,23
235,Sants-Montjuïc,2015,3,17,Sants - Badal,15-19,27
236,Sants-Montjuïc,2015,3,18,Sants,15-19,45
